label,2018-08-11,2018-11-09,2019-02-07,2019-05-08,2019-08-06,2019-11-04,2020-02-02,2020-05-02,2020-07-31
all,0.40155665022845355,0.4025588241362502,0.40021048697699824,0.39782123876373526,0.3989428409081141,0.3981971612825182,0.3979701670753198,0.39793893608441955,0.3954894298876247
positive,0.40215345059439245,0.4062865133077613,0.4021251479530948,0.39885220779399294,0.40138849853060493,0.40021369782916777,0.40036342089993165,0.4017266601402189,0.39970485243765164
neutral,0.40406793918896,0.4031335230263348,0.40062228180837134,0.3981882937764129,0.3977579885404544,0.39659035828795713,0.39671854598833756,0.3960531636791394,0.3936280640511085
negative,0.39332740850854975,0.3911016566213329,0.3944782757819784,0.3945356842556048,0.3953584610348725,0.3965143040425133,0.3953791711436135,0.3932502785461666,0.39017194938469313
