centroid_day,repeat,centroid_day_train,accuracy,precision_micro,precision_macro,precision_weighted,precision_negative,precision_neutral,precision_positive,recall_micro,recall_macro,recall_weighted,recall_negative,recall_neutral,recall_positive,f1_micro,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
2019-08-06,0,2019-08-06,0.5933333333333334,0.5933333333333334,0.5873696433755388,0.6039923181706527,0.5454545454545454,0.6949152542372882,0.5217391304347826,0.5933333333333334,0.5637815883362345,0.5933333333333334,0.3870967741935484,0.6119402985074627,0.6923076923076923,0.5933333333333334,0.5662217205956486,0.5905537280837452,0.45283018867924524,0.6507936507936508,0.5950413223140496
2019-11-04,0,2019-08-06,0.62,0.62,0.6543054762358017,0.651162637223174,0.6470588235294118,0.7333333333333333,0.5825242718446602,0.62,0.5733322064457967,0.62,0.4583333333333333,0.3793103448275862,0.8823529411764706,0.62,0.5794465839395236,0.5973156468406788,0.5365853658536585,0.5,0.7017543859649122
2020-02-02,0,2019-08-06,0.5,0.5,0.5185185185185185,0.5079999999999999,0.6,0.4888888888888889,0.4666666666666667,0.5,0.4991504662557294,0.5,0.4864864864864865,0.38596491228070173,0.625,0.5,0.5010123756311989,0.49594997620786957,0.5373134328358209,0.4313725490196078,0.5343511450381679
2020-05-02,0,2019-08-06,0.5666666666666667,0.5666666666666667,0.5215847996089932,0.5968576490713587,0.2903225806451613,0.6181818181818182,0.65625,0.5666666666666667,0.5496421149849918,0.5666666666666667,0.5,0.5573770491803278,0.5915492957746479,0.5666666666666667,0.5252586858498188,0.5769909557692809,0.3673469387755102,0.5862068965517241,0.6222222222222222
2020-07-31,0,2019-08-06,0.49333333333333335,0.49333333333333335,0.48572706077736255,0.4912093513461722,0.4666666666666667,0.46938775510204084,0.5211267605633803,0.49333333333333335,0.4785936285936286,0.49333333333333335,0.42424242424242425,0.4423076923076923,0.5692307692307692,0.4933333333333334,0.4813358786859078,0.49144988028214587,0.4444444444444445,0.4554455445544554,0.5441176470588235
2019-02-07,0,2019-02-07,0.64,0.64,0.6546296296296297,0.6573333333333333,0.625,0.75,0.5888888888888889,0.64,0.5845168476747423,0.64,0.3333333333333333,0.5789473684210527,0.8412698412698413,0.64,0.5936861375822152,0.6262537455791615,0.43478260869565216,0.6534653465346535,0.6928104575163399
2019-05-08,0,2019-02-07,0.6266666666666667,0.6266666666666667,0.6169929361418723,0.6333108026725047,0.5384615384615384,0.7021276595744681,0.6103896103896104,0.6266666666666667,0.6014201475718565,0.6266666666666667,0.4666666666666667,0.5409836065573771,0.7966101694915254,0.6266666666666667,0.6007625272331155,0.6203812636165577,0.5,0.611111111111111,0.6911764705882353
2019-08-06,0,2019-02-07,0.5333333333333333,0.5333333333333333,0.5451321727917473,0.5650225660863959,0.5,0.6808510638297872,0.45454545454545453,0.5333333333333333,0.523347900695036,0.5333333333333333,0.41935483870967744,0.47761194029850745,0.6730769230769231,0.5333333333333333,0.5200598395212839,0.5331429348565212,0.45614035087719296,0.5614035087719299,0.5426356589147286
2019-11-04,0,2019-02-07,0.66,0.66,0.6444214400736139,0.6609680239245457,0.5714285714285714,0.717391304347826,0.6444444444444445,0.66,0.5850800090151003,0.66,0.3333333333333333,0.5689655172413793,0.8529411764705882,0.66,0.5966150771280684,0.6455800406566563,0.4210526315789474,0.6346153846153846,0.7341772151898734
2020-02-02,0,2019-02-07,0.58,0.58,0.5793956011347315,0.5809705753184015,0.5675675675675675,0.5909090909090909,0.5797101449275363,0.58,0.5793312109101584,0.58,0.5675675675675675,0.45614035087719296,0.7142857142857143,0.58,0.5741396842386942,0.5745768976897689,0.5675675675675675,0.5148514851485149,0.64
2020-05-02,0,2019-02-07,0.47333333333333333,0.47333333333333333,0.43803921568627446,0.49901568627450976,0.25,0.52,0.5441176470588235,0.47333333333333333,0.463933571068182,0.47333333333333333,0.4444444444444444,0.4262295081967213,0.5211267605633803,0.47333333333333333,0.4402808563959642,0.48090091818437136,0.32,0.4684684684684684,0.5323741007194244
2020-07-31,0,2019-02-07,0.44,0.44,0.431473337168377,0.4364972443355787,0.42424242424242425,0.391304347826087,0.4788732394366197,0.44,0.4311577311577312,0.44,0.42424242424242425,0.34615384615384615,0.5230769230769231,0.44,0.4305297876726448,0.43734693877551023,0.4242424242424243,0.36734693877551017,0.5
2018-11-09,0,2018-11-09,0.6333333333333333,0.6333333333333333,0.626053996675279,0.6305867331610887,0.6470588235294118,0.5681818181818182,0.6629213483146067,0.6333333333333333,0.5734999705587941,0.6333333333333333,0.2972972972972973,0.5555555555555556,0.8676470588235294,0.6333333333333333,0.5735991723014314,0.6097550213683708,0.40740740740740744,0.5617977528089888,0.7515923566878979
2019-02-07,0,2018-11-09,0.5866666666666667,0.5866666666666667,0.56243961352657,0.5891811594202898,0.4166666666666667,0.6956521739130435,0.575,0.5866666666666667,0.541631857421331,0.5866666666666667,0.3333333333333333,0.5614035087719298,0.7301587301587301,0.5866666666666667,0.5450287456759949,0.5804003691382332,0.3703703703703704,0.6213592233009708,0.6433566433566433
2019-05-08,0,2018-11-09,0.62,0.62,0.6406952863212685,0.646482825712789,0.6190476190476191,0.7608695652173914,0.5421686746987951,0.62,0.5899385631811306,0.62,0.43333333333333335,0.5737704918032787,0.7627118644067796,0.62,0.5992707819822237,0.6173001726687779,0.5098039215686274,0.6542056074766355,0.6338028169014085
