created_at,2019-05-08,2018-08-11,2020-02-02,2019-08-06,2019-11-04,2020-05-02,2020-07-31,2019-02-07,2018-11-09
2009-08-23 00:00:00+00:00,0.0,0.5714285714285714,-0.7142857142857143,-0.7142857142857143,-0.7142857142857143,-0.2857142857142857,0.0,0.0,-0.7142857142857143
2009-09-06 00:00:00+00:00,0.5,0.6428571428571429,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142
2009-09-20 00:00:00+00:00,0.26666666666666666,0.4,0.0,0.26666666666666666,-0.13333333333333333,0.0,0.13333333333333333,0.0,0.26666666666666666
2009-10-04 00:00:00+00:00,0.5555555555555556,0.2222222222222222,0.0,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444
2009-10-18 00:00:00+00:00,0.4,0.25,0.15,0.1,0.05,0.35,0.4,0.15,0.2
2009-11-01 00:00:00+00:00,-0.07692307692307693,0.358974358974359,0.10256410256410256,0.07692307692307693,0.10256410256410256,0.1794871794871795,0.07692307692307693,0.1282051282051282,0.20512820512820512
2009-11-15 00:00:00+00:00,-0.10344827586206896,0.4827586206896552,0.06896551724137931,-0.10344827586206896,-0.034482758620689655,0.13793103448275862,0.1724137931034483,-0.034482758620689655,-0.034482758620689655
2009-11-29 00:00:00+00:00,0.6666666666666666,0.5555555555555556,0.2222222222222222,0.6666666666666666,-0.2222222222222222,0.3333333333333333,0.7777777777777778,0.6666666666666666,0.4444444444444444
2009-12-13 00:00:00+00:00,-0.25,0.25,-0.2,-0.15,0.05,-0.05,0.1,-0.3,0.1
2009-12-27 00:00:00+00:00,-0.2711864406779661,-0.06779661016949153,0.2711864406779661,-0.288135593220339,0.1694915254237288,0.3050847457627119,0.2033898305084746,-0.3389830508474576,-0.1694915254237288
2010-01-10 00:00:00+00:00,-1.0,0.0,0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5
2010-01-24 00:00:00+00:00,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666
2010-02-07 00:00:00+00:00,0.25,0.25,-0.25,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.08333333333333333,0.3333333333333333
2010-02-21 00:00:00+00:00,0.75,0.5,-0.5,0.5,-0.25,-0.25,0.5,0.5,-0.25
2010-03-07 00:00:00+00:00,0.0,0.75,0.75,0.0,1.0,1.0,0.75,0.0,0.0
2010-03-21 00:00:00+00:00,-0.3333333333333333,-0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,-0.16666666666666666,-0.16666666666666666
2010-04-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18 00:00:00+00:00,-0.2,0.4,-0.2,-0.4,-0.4,0.2,0.2,-0.4,0.4
2010-05-02 00:00:00+00:00,-0.36363636363636365,0.2727272727272727,0.0,0.0,-0.18181818181818182,-0.36363636363636365,0.0,-0.36363636363636365,0.6363636363636364
2010-05-16 00:00:00+00:00,0.75,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.75
2010-05-30 00:00:00+00:00,0.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2010-06-13 00:00:00+00:00,-0.3333333333333333,1.0,1.0,1.0,-0.3333333333333333,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0.6666666666666666
2010-06-27 00:00:00+00:00,,,,,,,,,
2010-07-11 00:00:00+00:00,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.0,0.2857142857142857,0.42857142857142855
2010-07-25 00:00:00+00:00,0.9644970414201184,-0.9408284023668639,-0.9289940828402367,0.9881656804733728,0.9881656804733728,0.9881656804733728,0.9881656804733728,-0.9644970414201184,-0.9644970414201184
2010-08-08 00:00:00+00:00,0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
2010-08-22 00:00:00+00:00,-0.09090909090909091,-0.09090909090909091,-0.18181818181818182,-0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,-0.09090909090909091
2010-09-05 00:00:00+00:00,0.4,0.6,-0.4,-0.4,-0.4,-0.4,-0.4,0.4,0.6
2010-09-19 00:00:00+00:00,0.125,0.375,0.625,0.25,0.25,1.0,0.75,0.125,0.625
2010-10-03 00:00:00+00:00,0.8888888888888888,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.4444444444444444,0.0,0.2222222222222222,0.8888888888888888,0.4444444444444444
2010-10-17 00:00:00+00:00,0.36363636363636365,0.5454545454545454,0.0,0.18181818181818182,0.18181818181818182,-0.09090909090909091,0.18181818181818182,0.45454545454545453,0.8181818181818182
2010-10-31 00:00:00+00:00,0.25,0.75,0.25,0.5,0.5,0.25,0.25,0.25,0.25
2010-11-14 00:00:00+00:00,0.7916666666666666,-0.16666666666666666,-0.375,0.6666666666666666,-0.4583333333333333,-0.375,-0.4583333333333333,-0.375,-0.375
2010-11-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-12 00:00:00+00:00,0.0,-0.1111111111111111,0.7777777777777778,0.0,0.0,0.4444444444444444,0.0,0.0,-0.1111111111111111
