centroid_day,fleiss_kappa,num_annotations,mturk,public,other,fleiss_kappa_mode_mturk,fleiss_kappa_mode_other,fleiss_kappa_mode_public
2018-08-11,0.37479911675349414,5736,5619,116,1.0,0.36829064084138646,,0.6257277371356634
2018-11-09,0.41489739321176866,5777,5624,152,1.0,0.4095130294129667,,0.5861652367507133
2019-02-07,0.4198653379083391,5818,5664,154,,0.41365113452408486,,0.6157568043095997
2019-05-08,0.4321064919175098,5822,5701,121,,0.4297836403375059,,0.521230100408437
2019-08-06,0.4256749854657486,5821,5721,100,,0.42530338770642917,,0.4247966223625081
2019-11-04,0.43236317444599737,5849,5758,91,,0.4313997075119308,,0.48326544014957434
2020-02-02,0.41027019696836925,5690,5618,72,,0.4084049708275051,,0.5019467327484204
2020-05-02,0.37158725890799776,5619,5564,55,,0.3692143044981711,,0.5178269834971687
2020-07-31,0.3528484748895676,5530,5469,61,,0.3495646707385513,,0.5763453263724181
