created_at,2019-08-06,2019-02-07,2018-11-09,2019-05-08,2018-08-11,2019-11-04,2020-05-02,2020-07-31,2020-02-02
2010-04-18 00:00:00+00:00,0.2,-0.6,0.0,-0.4,0.0,-0.4,0.0,-0.4,-0.6
2010-05-02 00:00:00+00:00,0.36363636363636365,-0.18181818181818182,-0.09090909090909091,-0.5454545454545454,0.2727272727272727,0.0,0.0,-0.36363636363636365,-0.5454545454545454
2010-05-16 00:00:00+00:00,0.25,-0.25,-0.25,0.25,0.75,0.75,0.75,0.75,0.75
2010-05-30 00:00:00+00:00,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2010-06-13 00:00:00+00:00,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-1.0,-0.6666666666666666
2010-06-27 00:00:00+00:00,,,,,,,,,
2010-07-11 00:00:00+00:00,0.7142857142857143,1.0,0.7142857142857143,0.42857142857142855,0.7142857142857143,1.0,1.0,1.0,1.0
2010-07-25 00:00:00+00:00,0.9526627218934911,0.9644970414201184,0.9644970414201184,0.9526627218934911,0.9763313609467456,-0.9763313609467456,0.9644970414201184,0.9526627218934911,-0.9763313609467456
2010-08-08 00:00:00+00:00,-0.2857142857142857,0.0,-0.2857142857142857,-0.2857142857142857,0.0,-0.2857142857142857,-0.2857142857142857,0.0,0.0
2010-08-22 00:00:00+00:00,-0.09090909090909091,-0.09090909090909091,0.2727272727272727,-0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727
2010-09-05 00:00:00+00:00,-0.8,-0.8,-0.2,-0.4,-0.4,0.4,-0.4,-0.6,-0.4
2010-09-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.125,0.625,0.5,0.375,0.0
2010-10-03 00:00:00+00:00,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222
2010-10-17 00:00:00+00:00,0.2727272727272727,0.0,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.0,0.45454545454545453,0.36363636363636365
2010-10-31 00:00:00+00:00,0.0,0.25,-0.25,-0.25,0.25,-0.25,0.25,0.5,0.0
2010-11-14 00:00:00+00:00,0.5416666666666666,0.7916666666666666,-0.375,0.4583333333333333,0.7083333333333334,0.5416666666666666,-0.5416666666666666,-0.2916666666666667,-0.4583333333333333
2010-11-28 00:00:00+00:00,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5
2010-12-12 00:00:00+00:00,0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.0,0.8888888888888888,0.3333333333333333,-0.1111111111111111,-0.5555555555555556,-0.6666666666666666
2010-12-26 00:00:00+00:00,0.4,0.2,0.2,-0.2,0.6,0.6,-0.4,-0.4,0.0
2011-01-09 00:00:00+00:00,-0.4666666666666667,-0.2,-0.7333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.4666666666666667,-0.4666666666666667
2011-01-23 00:00:00+00:00,-0.5555555555555556,-0.5555555555555556,-0.3333333333333333,-0.5555555555555556,-0.3333333333333333,-0.5555555555555556,0.1111111111111111,0.1111111111111111,-0.5555555555555556
2011-02-06 00:00:00+00:00,-0.07692307692307693,-0.07692307692307693,0.38461538461538464,-0.07692307692307693,0.5384615384615384,0.15384615384615385,0.07692307692307693,-0.15384615384615385,-0.38461538461538464
2011-02-20 00:00:00+00:00,,,,,,,,,
2011-03-06 00:00:00+00:00,0.09090909090909091,-0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091
2011-03-20 00:00:00+00:00,-0.09523809523809523,-0.19047619047619047,-0.07142857142857142,-0.047619047619047616,-0.047619047619047616,-0.023809523809523808,-0.7857142857142857,0.07142857142857142,-0.6904761904761905
2011-04-03 00:00:00+00:00,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0
2011-04-17 00:00:00+00:00,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333
2011-05-01 00:00:00+00:00,0.3333333333333333,0.5,0.75,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.3333333333333333
2011-05-15 00:00:00+00:00,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.1111111111111111,-0.3333333333333333,-0.1111111111111111,0.1111111111111111,-0.1111111111111111
2011-05-29 00:00:00+00:00,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,1.0,-0.5555555555555556,-0.5555555555555556,-0.1111111111111111,-0.5555555555555556
2011-06-12 00:00:00+00:00,,,,,,,,,
2011-06-26 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,-0.9904306220095693,-0.9904306220095693,0.9904306220095693
2011-07-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2011-07-24 00:00:00+00:00,0.0,0.5,-0.5,1.0,1.0,-1.0,-1.0,-0.5,-1.0
2011-08-07 00:00:00+00:00,0.3,0.3,0.5,0.2,0.5,0.1,0.7,-0.4,0.1
2011-08-21 00:00:00+00:00,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,-0.14285714285714285,0.2857142857142857,-0.42857142857142855,-0.14285714285714285,-0.2857142857142857
2011-09-04 00:00:00+00:00,0.38461538461538464,-0.15384615384615385,0.07692307692307693,-0.07692307692307693,0.07692307692307693,0.23076923076923078,-0.07692307692307693,0.07692307692307693,-0.07692307692307693
2011-09-18 00:00:00+00:00,0.41304347826086957,0.0,0.021739130434782608,-0.10869565217391304,0.13043478260869565,0.4782608695652174,-0.13043478260869565,-0.3695652173913043,-0.15217391304347827
2011-10-02 00:00:00+00:00,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.3333333333333333
2011-10-16 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
2011-10-30 00:00:00+00:00,0.6,-0.6,0.6,-0.6,-0.6,0.6,0.4,-0.2,0.4
2011-11-13 00:00:00+00:00,-0.2,0.06666666666666667,-0.2,0.3333333333333333,-0.4666666666666667,0.06666666666666667,-0.3333333333333333,-0.4666666666666667,-0.7333333333333333
2011-11-27 00:00:00+00:00,0.0,0.0,0.6666666666666666,-0.2222222222222222,0.0,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222
2011-12-11 00:00:00+00:00,0.5714285714285714,0.8095238095238095,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.6666666666666666
2011-12-25 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-01-08 00:00:00+00:00,0.2,0.2,0.2,-0.2,0.2,0.2,0.2,0.2,0.0
2012-01-22 00:00:00+00:00,-0.7272727272727273,-0.45454545454545453,-0.6363636363636364,-0.6363636363636364,-0.45454545454545453,0.36363636363636365,0.18181818181818182,-0.6363636363636364,-0.7272727272727273
2012-02-05 00:00:00+00:00,0.5,0.125,0.5,0.0,1.0,0.0,0.25,0.125,0.375
2012-02-19 00:00:00+00:00,0.7333333333333333,0.4,0.4,0.4,0.8666666666666667,0.4,0.2,0.13333333333333333,0.7333333333333333
2012-03-04 00:00:00+00:00,0.6,0.4,0.6,0.6,0.2,0.2,0.6,0.2,0.2
2012-03-18 00:00:00+00:00,1.0,1.0,0.2,0.6,1.0,0.6,0.2,0.2,1.0
2012-04-01 00:00:00+00:00,-0.3076923076923077,-0.07692307692307693,-0.23076923076923078,-0.07692307692307693,0.07692307692307693,-0.07692307692307693,-0.23076923076923078,-0.38461538461538464,-0.23076923076923078
2012-04-15 00:00:00+00:00,0.23076923076923078,0.8461538461538461,-0.07692307692307693,0.23076923076923078,-0.07692307692307693,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.23076923076923078
2012-04-29 00:00:00+00:00,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.5
2012-05-13 00:00:00+00:00,-0.5,0.0,-0.5,-0.5,0.5,-0.5,-0.5,-1.0,-0.5
